race,tau,geoid_county
black,0.875,12071
black,2.0,12073
black,0.1,12075
black,0.5,12077
black,0.25,12079
black,1.75,12081
black,2.5,12083
black,1.0,12085
black,1.25,12086
black,0.5,12087
black,0.75,12089
black,0.5,12091
black,1.375,12093
black,1.25,12095
black,2.0,12097
black,1.75,12099
black,1.125,12101
black,1.0,12103
black,2.5,12105
black,2.5,12107
black,2.5,12109
black,2.5,12111
black,0.5,12113
black,0.75,12115
black,1.125,12117
black,2.0,12119
black,0.75,12121
black,1.75,12123
black,2.5,12125
black,1.75,12127
black,0.1,12129
black,1.75,12131
black,0.5,12133
black,0.25,13001
black,0.25,13003
black,0.875,13005
black,0.1,13007
black,2.5,13009
black,0.1,13011
black,0.1,13013
black,2.0,13015
black,2.5,13017
black,0.25,13019
black,2.5,13021
black,0.5,13023
black,1.25,13025
black,0.875,13027
black,0.25,13029
black,2.5,13031
black,0.875,13033
black,2.5,13035
black,0.5,13037
black,0.5,13039
black,0.1,13043
black,0.5,13045
black,0.5,13047
black,0.1,13049
black,2.5,13051
black,0.25,13053
black,1.75,13055
black,2.5,13057
black,2.5,13059
black,0.25,13061
black,2.5,13063
black,1.0,13065
black,2.5,13067
black,2.5,13069
black,2.5,13071
black,1.75,13073
black,1.125,13075
black,2.5,13077
black,1.75,13079
black,2.5,13081
black,0.1,13083
black,0.1,13085
black,0.75,13087
black,2.5,13089
black,1.0,13091
black,0.5,13093
black,2.5,13095
black,0.25,13097
black,0.875,13099
black,0.1,13101
black,0.25,13103
black,1.5,13105
black,2.0,13107
black,1.125,13109
black,0.25,13111
black,0.75,13113
black,1.5,13115
black,0.1,13117
black,0.75,13119
black,2.5,13121
black,0.1,13123
black,0.25,13125
black,1.5,13127
black,1.125,13129
black,1.25,13131
black,0.75,13133
black,2.5,13135
black,1.125,13137
black,2.0,13139
black,2.5,13141
black,0.1,13143
black,1.25,13145
black,1.25,13147
black,0.75,13149
black,2.5,13151
black,2.0,13153
black,2.0,13155
black,0.5,13157
black,1.125,13159
black,0.75,13161
black,0.875,13163
black,0.25,13165
black,1.0,13167
black,2.5,13169
black,0.75,13171
black,0.25,13173
black,2.5,13175
black,2.5,13177
black,1.5,13179
black,0.5,13181
black,0.5,13183
black,2.5,13185
black,0.25,13187
black,2.0,13189
black,1.25,13191
black,0.5,13193
black,0.25,13195
black,1.75,13197
black,1.375,13199
black,0.25,13201
black,2.0,13205
black,0.25,13207
black,0.25,13209
black,0.75,13211
black,0.5,13213
black,2.5,13215
black,1.5,13217
black,1.0,13219
black,0.5,13221
black,2.5,13223
black,1.75,13225
black,1.75,13227
black,1.125,13229
black,0.1,13231
black,0.5,13233
black,0.1,13235
black,0.5,13237
black,0.75,13239
black,0.1,13241
black,0.75,13243
black,1.75,13245
black,2.5,13247
black,1.25,13249
black,0.5,13251
black,0.5,13253
black,2.0,13255
black,1.0,13257
black,0.25,13259
black,2.5,13261
black,0.25,13263
black,0.1,13265
black,0.1,13267
black,1.375,13269
black,2.5,13271
black,2.5,13273
black,0.875,13275
black,2.5,13277
black,2.5,13279
black,0.1,13281
black,1.375,13283
black,2.5,13285
black,1.125,13287
black,0.5,13289
black,0.1,13291
black,2.5,13293
black,1.125,13295
black,2.5,13297
black,2.0,13299
black,1.25,13301
black,1.75,13303
black,2.0,13305
black,0.1,13307
black,1.0,13309
black,0.1,13311
black,1.0,13313
black,2.0,13315
black,0.25,13317
black,0.5,13319
black,1.375,13321
black,1.125,15001
black,0.5,15003
black,0.1,15005
black,2.0,15007
black,0.5,15009
black,0.25,16001
black,2.0,16003
black,0.25,16005
black,0.1,16007
black,0.1,16009
black,1.0,16011
black,2.5,16013
black,0.1,16015
black,2.5,16017
black,0.75,16019
black,2.5,16021
black,0.1,16023
black,0.1,16025
black,0.5,16027
black,2.5,16029
black,2.5,16031
black,0.1,16033
black,2.5,16035
black,2.5,16037
black,0.25,16039
black,0.1,16041
black,0.5,16043
black,2.5,16045
black,0.1,16047
black,2.5,16049
black,0.1,16051
black,0.1,16053
black,0.25,16055
black,0.5,16057
black,0.1,16059
black,0.1,16061
black,0.1,16063
black,0.25,16065
black,0.75,16067
black,0.5,16069
black,0.1,16071
black,0.1,16073
black,0.25,16075
black,0.25,16077
black,0.5,16079
black,0.1,16081
black,0.25,16083
black,0.1,16085
black,2.5,16087
black,0.5,17001
black,1.0,17003
black,2.0,17005
black,0.1,17007
black,0.1,17009
black,0.75,17011
black,2.5,17013
black,0.5,17015
black,0.75,17017
black,0.5,17019
black,1.75,17021
black,2.5,17023
black,0.25,17025
black,0.75,17027
black,0.5,17029
black,1.75,17031
black,2.5,17033
black,0.25,17035
black,0.25,17037
black,1.0,17039
black,0.1,17041
black,0.5,17043
black,1.5,17045
black,0.1,17047
black,2.5,17049
black,0.25,17051
black,0.75,17053
black,0.25,17055
black,0.25,17057
black,0.1,17059
black,1.125,17061
black,0.5,17063
black,0.1,17065
black,0.5,17067
black,0.1,17069
black,0.5,17071
black,0.25,17073
black,0.5,17075
black,0.5,17077
black,2.5,17079
black,0.875,17081
black,0.1,17083
black,0.1,17085
black,1.0,17087
black,1.5,17089
black,1.5,17091
black,0.25,17093
black,0.5,17095
black,1.375,17097
black,0.75,17099
black,0.25,17101
black,0.5,17103
black,0.5,17105
black,0.5,17107
black,0.5,17109
black,1.0,17111
black,0.5,17113
black,0.875,17115
black,0.25,17117
black,1.125,17119
black,0.5,17121
black,2.5,17123
black,0.5,17125
black,0.25,17127
black,2.5,17129
black,0.1,17131
black,0.1,17133
black,0.25,17135
black,0.5,17137
black,0.75,17139
black,0.25,17141
black,0.875,17143
